Lote_Piloto;Tamanho_MB;Nome_Original;Novo_Nome_Padronizado;Pasta_Pai;Caminho_Completo_Original
NAO;1140,70;Miraculous Segredos (Parte 2).mp4;Miraculous.Segredos.720p.H265.mp4;Miraculous Segredos;/mnt/Media/Anime-Cartoon/Miraculous.Tales.of.Ladybug.and.Cat.Noir/Miraculous Segredos/Miraculous Segredos (Parte 2).mp4
NAO;1140,42;[DragsterPS] A Certain Scientific Railgun S02E20 [1080p] [English-Japanese Audio] [Multi-Subs] [5D4C1BDF].mkv;A.Certain.Scientific.Railgun.S02E20.1080p.H265.mkv;[DragsterPS] A Certain Scientific Railgun S02 [1080p] [English-Japanese Audio] [Multi-Subs];/mnt/Media/Anime-Cartoon/A Certain/[DragsterPS] A Certain Scientific Railgun S02 [1080p] [English-Japanese Audio] [Multi-Subs]/[DragsterPS] A Certain Scientific Railgun S02E20 [1080p] [English-Japanese Audio] [Multi-Subs] [5D4C1BDF].mkv
NAO;1133,09;[Erai-raws] Watashi no Shiawase na Kekkon - 04 [1080p][Multiple Subtitle][7857006D].mkv;Watashi.no.Shiawase.na.Kekkon.E04.1080p.H265.mkv;Watashi no Shiawase na Kekkon;/mnt/Media/Anime-Cartoon/Watashi no Shiawase na Kekkon/[Erai-raws] Watashi no Shiawase na Kekkon - 04 [1080p][Multiple Subtitle][7857006D].mkv
NAO;1123,20;[DragsterPS] CAROLE and TUESDAY S01E23 [1080p] [Multi-Audio] [Multi-Subs] [1C180842].mkv;CAROLE.and.TUESDAY.S01E23.1080p.H265.mkv;CAROLE and TUESDAY S01 [1080p] [Multi-Audio] [Multi-Subs];/mnt/Media/Anime-Cartoon/CAROLE and TUESDAY S01 [1080p] [Multi-Audio] [Multi-Subs]/[DragsterPS] CAROLE and TUESDAY S01E23 [1080p] [Multi-Audio] [Multi-Subs] [1C180842].mkv
NAO;1115,35;[Erai-raws] Moonrise - 06 [1080p NF WEB-DL AVC EAC3][MultiSub][3A2F6746].mkv;Moonrise.E06.1080p.H265.mkv;[Erai-raws] Moonrise - 01 ~ 18 [1080p NF WEB-DL AVC EAC3][MultiSub];/mnt/Media/Anime-Cartoon/[Erai-raws] Moonrise - 01 ~ 18 [1080p NF WEB-DL AVC EAC3][MultiSub]/[Erai-raws] Moonrise - 06 [1080p NF WEB-DL AVC EAC3][MultiSub][3A2F6746].mkv
NAO;1110,85;[Erai-raws] Vivy - Fluorite Eye's Song - 07 [v0][1080p][Multiple Subtitle].mkv;Vivy.E07.1080p.H265.mkv;Vivy - Fluorite Eye's Song;/mnt/Media/Anime-Cartoon/Vivy - Fluorite Eye's Song/[Erai-raws] Vivy - Fluorite Eye's Song - 07 [v0][1080p][Multiple Subtitle].mkv
NAO;1109,49;[Erai-raws] Vivy - Fluorite Eye's Song - 11 [v0][1080p][Multiple Subtitle].mkv;Vivy.E11.1080p.H265.mkv;Vivy - Fluorite Eye's Song;/mnt/Media/Anime-Cartoon/Vivy - Fluorite Eye's Song/[Erai-raws] Vivy - Fluorite Eye's Song - 11 [v0][1080p][Multiple Subtitle].mkv
NAO;1109,19;[Aenianos] Kimetsu no Yaiba - 20v2 (WEB 1080p AAC) [7DAF0AC6].mkv;Kimetsu.no.Yaiba.E20.1080p.H265.mkv;20;/mnt/Media/Anime-Cartoon/Kimetsu.no.Yaiba/[Erai-raws] Kimetsu no Yaiba - 01 ~ 26 [720p][Multiple Subtitle]/Legendas/20/[Aenianos] Kimetsu no Yaiba - 20v2 (WEB 1080p AAC) [7DAF0AC6].mkv
NAO;1108,25;[Erai-raws] Moonrise - 17 [1080p NF WEB-DL AVC EAC3][MultiSub][8AC5197D].mkv;Moonrise.E17.1080p.H265.mkv;[Erai-raws] Moonrise - 01 ~ 18 [1080p NF WEB-DL AVC EAC3][MultiSub];/mnt/Media/Anime-Cartoon/[Erai-raws] Moonrise - 01 ~ 18 [1080p NF WEB-DL AVC EAC3][MultiSub]/[Erai-raws] Moonrise - 17 [1080p NF WEB-DL AVC EAC3][MultiSub][8AC5197D].mkv
NAO;1107,80;[Erai-raws] Made in Abyss - 08 [1080p AVC-YUV444P10][E-AC3].mkv;Made.in.Abyss.E08.1080p.H265.mkv;Made in Abyss - 01~13 [1080p AVC-YUV444P10][E-AC3];/mnt/Media/Anime-Cartoon/Made in Abyss - 01~13 [1080p AVC-YUV444P10][E-AC3]/[Erai-raws] Made in Abyss - 08 [1080p AVC-YUV444P10][E-AC3].mkv
NAO;1105,61;[Erai-raws] Made in Abyss - 06 [1080p AVC-YUV444P10][E-AC3].mkv;Made.in.Abyss.E06.1080p.H265.mkv;Made in Abyss - 01~13 [1080p AVC-YUV444P10][E-AC3];/mnt/Media/Anime-Cartoon/Made in Abyss - 01~13 [1080p AVC-YUV444P10][E-AC3]/[Erai-raws] Made in Abyss - 06 [1080p AVC-YUV444P10][E-AC3].mkv
NAO;1100,95;[Aenianos] Kimetsu no Yaiba - 21 (WEB 1080p AAC) [D166AC68].mkv;Kimetsu.no.Yaiba.E21.1080p.H265.mkv;21;/mnt/Media/Anime-Cartoon/Kimetsu.no.Yaiba/[Erai-raws] Kimetsu no Yaiba - 01 ~ 26 [720p][Multiple Subtitle]/Legendas/21/[Aenianos] Kimetsu no Yaiba - 21 (WEB 1080p AAC) [D166AC68].mkv
NAO;1096,61;[Erai-raws] Vivy - Fluorite Eye's Song - 09 [v0][1080p][Multiple Subtitle].mkv;Vivy.E09.1080p.H265.mkv;Vivy - Fluorite Eye's Song;/mnt/Media/Anime-Cartoon/Vivy - Fluorite Eye's Song/[Erai-raws] Vivy - Fluorite Eye's Song - 09 [v0][1080p][Multiple Subtitle].mkv
NAO;1092,24;[DragsterPS] A Certain Scientific Railgun S01E14 [1080p] [English-Japanese Audio] [Multi-Subs] [B9AAEE8F].mkv;A.Certain.Scientific.Railgun.S01E14.1080p.H265.mkv;[DragsterPS] A Certain Scientific Railgun S01 [1080p] [English-Japanese Audio] [Multi-Subs];/mnt/Media/Anime-Cartoon/A Certain/[DragsterPS] A Certain Scientific Railgun S01 [1080p] [English-Japanese Audio] [Multi-Subs]/[DragsterPS] A Certain Scientific Railgun S01E14 [1080p] [English-Japanese Audio] [Multi-Subs] [B9AAEE8F].mkv
NAO;1091,05;[DragsterPS] A Certain Scientific Railgun S02E17 [1080p] [English-Japanese Audio] [Multi-Subs] [8DA7C5E5].mkv;A.Certain.Scientific.Railgun.S02E17.1080p.H265.mkv;[DragsterPS] A Certain Scientific Railgun S02 [1080p] [English-Japanese Audio] [Multi-Subs];/mnt/Media/Anime-Cartoon/A Certain/[DragsterPS] A Certain Scientific Railgun S02 [1080p] [English-Japanese Audio] [Multi-Subs]/[DragsterPS] A Certain Scientific Railgun S02E17 [1080p] [English-Japanese Audio] [Multi-Subs] [8DA7C5E5].mkv
NAO;1089,82;[DragsterPS] A Certain Scientific Railgun S02E18 [1080p] [English-Japanese Audio] [Multi-Subs] [12326550].mkv;A.Certain.Scientific.Railgun.S02E18.1080p.H265.mkv;[DragsterPS] A Certain Scientific Railgun S02 [1080p] [English-Japanese Audio] [Multi-Subs];/mnt/Media/Anime-Cartoon/A Certain/[DragsterPS] A Certain Scientific Railgun S02 [1080p] [English-Japanese Audio] [Multi-Subs]/[DragsterPS] A Certain Scientific Railgun S02E18 [1080p] [English-Japanese Audio] [Multi-Subs] [12326550].mkv
NAO;1088,66;[DragsterPS] A Certain Scientific Railgun S02E16 [1080p] [English-Japanese Audio] [Multi-Subs] [77D446F5].mkv;A.Certain.Scientific.Railgun.S02E16.1080p.H265.mkv;[DragsterPS] A Certain Scientific Railgun S02 [1080p] [English-Japanese Audio] [Multi-Subs];/mnt/Media/Anime-Cartoon/A Certain/[DragsterPS] A Certain Scientific Railgun S02 [1080p] [English-Japanese Audio] [Multi-Subs]/[DragsterPS] A Certain Scientific Railgun S02E16 [1080p] [English-Japanese Audio] [Multi-Subs] [77D446F5].mkv
NAO;1088,47;[Aenianos] Kimetsu no Yaiba - 18v2 (WEB 1080p AAC) [5A3C4240].mkv;Kimetsu.no.Yaiba.E18.1080p.H265.mkv;18;/mnt/Media/Anime-Cartoon/Kimetsu.no.Yaiba/[Erai-raws] Kimetsu no Yaiba - 01 ~ 26 [720p][Multiple Subtitle]/Legendas/18/[Aenianos] Kimetsu no Yaiba - 18v2 (WEB 1080p AAC) [5A3C4240].mkv
NAO;1086,94;[Peak Spider Fansub] Haikyuu!! Filme 1- Owari to Hajimari [BD].mkv;Haikyuu!!.Filme.1.720p.H265.mkv;Filmes;/mnt/Media/Anime-Cartoon/Haikyuu!!/Filmes/[Peak Spider Fansub] Haikyuu!! Filme 1- Owari to Hajimari [BD].mkv
NAO;1083,95;[DragsterPS] CAROLE and TUESDAY S01E03 [1080p] [Multi-Audio] [Multi-Subs] [C974BA64].mkv;CAROLE.and.TUESDAY.S01E03.1080p.H265.mkv;CAROLE and TUESDAY S01 [1080p] [Multi-Audio] [Multi-Subs];/mnt/Media/Anime-Cartoon/CAROLE and TUESDAY S01 [1080p] [Multi-Audio] [Multi-Subs]/[DragsterPS] CAROLE and TUESDAY S01E03 [1080p] [Multi-Audio] [Multi-Subs] [C974BA64].mkv
NAO;1083,29;[Erai-raws] Moonrise - 04 [1080p NF WEB-DL AVC EAC3][MultiSub][EC156C5D].mkv;Moonrise.E04.1080p.H265.mkv;[Erai-raws] Moonrise - 01 ~ 18 [1080p NF WEB-DL AVC EAC3][MultiSub];/mnt/Media/Anime-Cartoon/[Erai-raws] Moonrise - 01 ~ 18 [1080p NF WEB-DL AVC EAC3][MultiSub]/[Erai-raws] Moonrise - 04 [1080p NF WEB-DL AVC EAC3][MultiSub][EC156C5D].mkv
NAO;1083,28;[DragsterPS] CAROLE and TUESDAY S01E04 [1080p] [Multi-Audio] [Multi-Subs] [A00A540C].mkv;CAROLE.and.TUESDAY.S01E04.1080p.H265.mkv;CAROLE and TUESDAY S01 [1080p] [Multi-Audio] [Multi-Subs];/mnt/Media/Anime-Cartoon/CAROLE and TUESDAY S01 [1080p] [Multi-Audio] [Multi-Subs]/[DragsterPS] CAROLE and TUESDAY S01E04 [1080p] [Multi-Audio] [Multi-Subs] [A00A540C].mkv
NAO;1082,87;[Erai-raws] Moonrise - 15 [1080p NF WEB-DL AVC EAC3][MultiSub][24F362EE].mkv;Moonrise.E15.1080p.H265.mkv;[Erai-raws] Moonrise - 01 ~ 18 [1080p NF WEB-DL AVC EAC3][MultiSub];/mnt/Media/Anime-Cartoon/[Erai-raws] Moonrise - 01 ~ 18 [1080p NF WEB-DL AVC EAC3][MultiSub]/[Erai-raws] Moonrise - 15 [1080p NF WEB-DL AVC EAC3][MultiSub][24F362EE].mkv
NAO;1082,80;[DragsterPS] CAROLE and TUESDAY S01E19 [1080p] [Multi-Audio] [Multi-Subs] [FB2E9E61].mkv;CAROLE.and.TUESDAY.S01E19.1080p.H265.mkv;CAROLE and TUESDAY S01 [1080p] [Multi-Audio] [Multi-Subs];/mnt/Media/Anime-Cartoon/CAROLE and TUESDAY S01 [1080p] [Multi-Audio] [Multi-Subs]/[DragsterPS] CAROLE and TUESDAY S01E19 [1080p] [Multi-Audio] [Multi-Subs] [FB2E9E61].mkv
NAO;1081,96;[DragsterPS] CAROLE and TUESDAY S01E15 [1080p] [Multi-Audio] [Multi-Subs] [8887D65D].mkv;CAROLE.and.TUESDAY.S01E15.1080p.H265.mkv;CAROLE and TUESDAY S01 [1080p] [Multi-Audio] [Multi-Subs];/mnt/Media/Anime-Cartoon/CAROLE and TUESDAY S01 [1080p] [Multi-Audio] [Multi-Subs]/[DragsterPS] CAROLE and TUESDAY S01E15 [1080p] [Multi-Audio] [Multi-Subs] [8887D65D].mkv
