Lote_Piloto;Tamanho_MB;Nome_Original;Novo_Nome_Padronizado;Pasta_Pai;Caminho_Completo_Original
NAO;2698,83;The.Wolverine.2013.EXTENDED.1080p.BluRay.H264.AAC-RARBG.mp4;The.Wolverine.2013.1080p.H265.mp4;The.Wolverine.2013.EXTENDED.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/Franquias/Marvel-DC/X-Men/The.Wolverine.2013.EXTENDED.1080p.BluRay.H264.AAC-RARBG/The.Wolverine.2013.EXTENDED.1080p.BluRay.H264.AAC-RARBG.mp4
NAO;2696,89;The.Matrix.Reloaded.2003.REMASTERED.1080p.BluRay.H264.AAC-RARBG.mkv;The.Matrix.Reloaded.2003.1080p.H265.mkv;The.Matrix.Reloaded.2003.REMASTERED.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/Franquias/Matrix/The.Matrix.Reloaded.2003.REMASTERED.1080p.BluRay.H264.AAC-RARBG/The.Matrix.Reloaded.2003.REMASTERED.1080p.BluRay.H264.AAC-RARBG.mkv
NAO;2694,42;5-Harry.Potter.and.the.Order.of.the.Phoenix.2007.1080p.BluRay.H264.AAC-RARBG.mkv;5-Harry.Potter.and.the.Order.of.the.Phoenix.2007.1080p.H265.mkv;HarryPotter;/mnt/Media/filmes/Franquias/HarryPotter/5-Harry.Potter.and.the.Order.of.the.Phoenix.2007.1080p.BluRay.H264.AAC-RARBG.mkv
NAO;2657,58;The.Matrix.1999.REMASTERED.PROPER.1080p.BluRay.H264.AAC-RARBG.mkv;The.Matrix.1999.1080p.H265.mkv;The.Matrix.1999.REMASTERED.PROPER.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/Franquias/Matrix/The.Matrix.1999.REMASTERED.PROPER.1080p.BluRay.H264.AAC-RARBG/The.Matrix.1999.REMASTERED.PROPER.1080p.BluRay.H264.AAC-RARBG.mkv
NAO;2655,31;Star.Wars.Episode.I.The.Phantom.Menace.1999.PROPER.1080p.BluRay.H264.AAC-RARBG.mkv;Star.Wars.Episode.I.The.Phantom.Menace.1999.1080p.H265.mkv;Star.Wars.Episode.I.The.Phantom.Menace.1999.PROPER.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/Franquias/StarWars/Star.Wars.Episode.I.The.Phantom.Menace.1999.PROPER.1080p.BluRay.H264.AAC-RARBG/Star.Wars.Episode.I.The.Phantom.Menace.1999.PROPER.1080p.BluRay.H264.AAC-RARBG.mkv
NAO;2643,35;Downsizing.2017.1080p.BluRay.H264.AAC-RARBG.mkv;Downsizing.2017.1080p.H265.mkv;Downsizing.2017.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/2017/Downsizing.2017.1080p.BluRay.H264.AAC-RARBG/Downsizing.2017.1080p.BluRay.H264.AAC-RARBG.mkv
NAO;2637,95;Margin Call 2011 BluRay 1080p.H264 Ita Eng AC3 5.1 Sub Ita Eng realDMDJ.mkv;Margin.Call.2011.1080p.H265.mkv;Margin Call 2011 BluRay;/mnt/Media/filmes/OLD/Margin Call 2011 BluRay/Margin Call 2011 BluRay 1080p.H264 Ita Eng AC3 5.1 Sub Ita Eng realDMDJ.mkv
NAO;2628,33;Star.Wars.Episode.VI.Return.of.the.Jedi.1983.PROPER.1080p.BluRay.H264.AAC-RARBG.mkv;Star.Wars.Episode.VI.Return.of.the.Jedi.1983.1080p.H265.mkv;Star.Wars.Episode.VI.Return.of.the.Jedi.1983.PROPER.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/Franquias/StarWars/Star.Wars.Episode.VI.Return.of.the.Jedi.1983.PROPER.1080p.BluRay.H264.AAC-RARBG/Star.Wars.Episode.VI.Return.of.the.Jedi.1983.PROPER.1080p.BluRay.H264.AAC-RARBG.mkv
NAO;2627,50;Solo.A.Star.Wars.Story.2018.1080p.BluRay.H264.AAC-RARBG.mkv;Solo.A.Star.Wars.Story.2018.1080p.H265.mkv;Solo.A.Star.Wars.Story.2018.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/Franquias/StarWars/Solo.A.Star.Wars.Story.2018.1080p.BluRay.H264.AAC-RARBG/Solo.A.Star.Wars.Story.2018.1080p.BluRay.H264.AAC-RARBG.mkv
NAO;2612,99;Rogue.One.2016.1080p.BluRay.H264.AAC-RARBG.mp4;Rogue.One.2016.1080p.H265.mp4;Rogue.One.2016.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/Franquias/StarWars/Rogue.One.2016.1080p.BluRay.H264.AAC-RARBG/Rogue.One.2016.1080p.BluRay.H264.AAC-RARBG.mp4
NAO;2610,38;Invictus.2009.1080p.BluRay.H264.AAC-RARBG.mp4;Invictus.2009.1080p.H265.mp4;Invictus.2009.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/OLD/Invictus.2009.1080p.BluRay.H264.AAC-RARBG/Invictus.2009.1080p.BluRay.H264.AAC-RARBG.mp4
NAO;2605,82;Invictus.2009.1080p.BluRay.H264.AAC-RARBG.mkv;Invictus.2009.1080p.H265.mkv;Invictus.2009.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/OLD/Invictus.2009.1080p.BluRay.H264.AAC-RARBG/Invictus.2009.1080p.BluRay.H264.AAC-RARBG.mkv
NAO;2597,13;Moneyball.2011.REMASTERED.1080p.BluRay.H264.AAC-RARBG.mkv;Moneyball.2011.1080p.H265.mkv;Moneyball.2011.REMASTERED.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/OLD/Moneyball.2011.REMASTERED.1080p.BluRay.H264.AAC-RARBG/Moneyball.2011.REMASTERED.1080p.BluRay.H264.AAC-RARBG.mkv
NAO;2595,91;The.Front.Line.2011.KOREAN.1080p.BluRay.H264.AAC-VXT.mkv;The.Front.Line.2011.1080p.H265.mkv;The.Front.Line.2011.KOREAN.1080p.BluRay.H264.AAC-VXT;/mnt/Media/filmes/Asian/The.Front.Line.2011.KOREAN.1080p.BluRay.H264.AAC-VXT/The.Front.Line.2011.KOREAN.1080p.BluRay.H264.AAC-VXT.mkv
NAO;2586,93;Fantastic.Beasts.and.Where.to.Find.Them.2016.1080p.BluRay.H264.AAC-RARBG.mkv;Fantastic.Beasts.and.Where.to.Find.Them.2016.1080p.H265.mkv;Fantastic.Beasts.and.Where.to.Find.Them.2016.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/Franquias/HarryPotter/Fantastic.Beasts.and.Where.to.Find.Them.2016.1080p.BluRay.H264.AAC-RARBG/Fantastic.Beasts.and.Where.to.Find.Them.2016.1080p.BluRay.H264.AAC-RARBG.mkv
NAO;2580,92;Die.Hard.With.A.Vengeance.1995.1080p.BluRay.H264.AAC-RARBG.mkv;Die.Hard.With.A.Vengeance.1995.1080p.H265.mkv;Die.Hard.With.A.Vengeance.1995.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/Franquias/DieHard/Die.Hard.With.A.Vengeance.1995.1080p.BluRay.H264.AAC-RARBG/Die.Hard.With.A.Vengeance.1995.1080p.BluRay.H264.AAC-RARBG.mkv
NAO;2578,99;The.Equalizer.2014.1080p.BluRay.H264.AAC-RARBG.mp4;The.Equalizer.2014.1080p.H265.mp4;The.Equalizer.2014.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/OLD/The.Equalizer.2014.1080p.BluRay.H264.AAC-RARBG/The.Equalizer.2014.1080p.BluRay.H264.AAC-RARBG.mp4
NAO;2575,53;Die.Hard.1988.1080p.BluRay.H264.AAC-RARBG.mkv;Die.Hard.1988.1080p.H265.mkv;Die.Hard.1988.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/Franquias/DieHard/Die.Hard.1988.1080p.BluRay.H264.AAC-RARBG/Die.Hard.1988.1080p.BluRay.H264.AAC-RARBG.mkv
NAO;2561,41;Bicentennial.Man.1999.1080p.WEBRip.x264-RARBG.mkv;Bicentennial.Man.1999.1080p.H265.mkv;Bicentennial.Man.1999.1080p.WEBRip.x264-RARBG;/mnt/Media/filmes/OLD/Bicentennial.Man.1999.1080p.WEBRip.x264-RARBG/Bicentennial.Man.1999.1080p.WEBRip.x264-RARBG.mkv
NAO;2544,08;Conan.The.Barbarian.1982.1080p.BluRay.H264.AAC-RARBG.mkv;Conan.The.Barbarian.1982.1080p.H265.mkv;Conan.The.Barbarian.1982.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/OLD/Conan.The.Barbarian.1982.1080p.BluRay.H264.AAC-RARBG/Conan.The.Barbarian.1982.1080p.BluRay.H264.AAC-RARBG.mkv
NAO;2543,89;The.Hurricane.Heist.2018.720p.KORSUB.HDRip.x264.AAC2.0-STUTTERSHIT.mkv;The.Hurricane.Heist.2018.720p.H265.mkv;The.Hurricane.Heist.2018.720p.KORSUB.HDRip.x264.AAC2.0-STUTTERSHIT;/mnt/Media/filmes/2018/The.Hurricane.Heist.2018.720p.KORSUB.HDRip.x264.AAC2.0-STUTTERSHIT/The.Hurricane.Heist.2018.720p.KORSUB.HDRip.x264.AAC2.0-STUTTERSHIT.mkv
NAO;2543,53;8-Harry.Potter.And.The.Deathly.Hallows.Part.2.2011.1080p.BluRay.H264.AAC-RARBG.mkv;8-Harry.Potter.And.The.Deathly.Hallows.2011.1080p.H265.mkv;HarryPotter;/mnt/Media/filmes/Franquias/HarryPotter/8-Harry.Potter.And.The.Deathly.Hallows.Part.2.2011.1080p.BluRay.H264.AAC-RARBG.mkv
NAO;2539,19;Tomorrowland.2015.1080p.BluRay.H264.AAC-RARBG.mp4;Tomorrowland.2015.1080p.H265.mp4;Tomorrowland.2015.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/Tomorrowland.2015.1080p.BluRay.H264.AAC-RARBG/Tomorrowland.2015.1080p.BluRay.H264.AAC-RARBG.mp4
