Lote_Piloto;Tamanho_MB;Nome_Original;Novo_Nome_Padronizado;Pasta_Pai;Caminho_Completo_Original
NAO;2559,79;The.Book.of.Boba.Fett.S01E02.1080p.WEB.h264-KOGi.mkv;The.Book.of.Boba.Fett.S01E02.1080p.H265.mkv;The.Book.of.Boba.Fett.S01;\\192.168.0.99\Media\series\The.Book.of.Boba.Fett.S01\The.Book.of.Boba.Fett.S01E02.1080p.WEB.h264-KOGi.mkv
NAO;2558,84;The.Mandalorian.S01E01.INTERNAL.1080p.WEB.H264-DEFLATE.mkv;The.Mandalorian.S01E01.1080p.H265.mkv;The.Mandalorian.S01E01.INTERNAL.1080p.WEB.H264-DEFLATE[rarbg];\\192.168.0.99\Media\series\TheMandalorian\The.Mandalorian.S01\The.Mandalorian.S01E01.INTERNAL.1080p.WEB.H264-DEFLATE[rarbg]\The.Mandalorian.S01E01.INTERNAL.1080p.WEB.H264-DEFLATE.mkv
NAO;2558,67;The.Mandalorian.S01E01.INTERNAL.1080p.WEB.H264-DEFLATE (1).mkv;The.Mandalorian.S01E01.1080p.H265.mkv;The.Mandalorian.S01E01.INTERNAL.1080p.WEB.H264-DEFLATE[rarbg];\\192.168.0.99\Media\series\TheMandalorian\The.Mandalorian.S01\The.Mandalorian.S01E01.INTERNAL.1080p.WEB.H264-DEFLATE[rarbg]\The.Mandalorian.S01E01.INTERNAL.1080p.WEB.H264-DEFLATE (1).mkv
NAO;2556,19;Avatar.The.Last.Airbender.S01E06.Masks.1080p.NF.WEB-DL.DDP5.1.x264-LiTTLEBLUEMAN.mkv;Avatar.The.Last.Airbender.S01E06.1080p.H265.mkv;Avatar.The.Last.Airbender.S01.COMPLETE.1080p.NF.WEB-DL.DDP5.1.x264-LiTTLEBLUEMAN[TGx];\\192.168.0.99\Media\series\Avatar.The.Last.Airbender.S01.COMPLETE.1080p.NF.WEB-DL.DDP5.1.x264-LiTTLEBLUEMAN[TGx]\Avatar.The.Last.Airbender.S01E06.Masks.1080p.NF.WEB-DL.DDP5.1.x264-LiTTLEBLUEMAN.mkv
NAO;2547,18;The.Mandalorian.S01E04.1080p.WEBRiP.x264-PETRiFiED.mkv;The.Mandalorian.S01E04.1080p.H265.mkv;The.Mandalorian.S01E04.1080p.WEBRiP.x264-PETRiFiED[rartv];\\192.168.0.99\Media\series\TheMandalorian\The.Mandalorian.S01\The.Mandalorian.S01E04.1080p.WEBRiP.x264-PETRiFiED[rartv]\The.Mandalorian.S01E04.1080p.WEBRiP.x264-PETRiFiED.mkv
NAO;2443,03;Avatar.The.Last.Airbender.S01E01.Aang.1080p.NF.WEB-DL.DDP5.1.x264-LiTTLEBLUEMAN.mkv;Avatar.The.Last.Airbender.S01E01.1080p.H265.mkv;Avatar.The.Last.Airbender.S01.COMPLETE.1080p.NF.WEB-DL.DDP5.1.x264-LiTTLEBLUEMAN[TGx];\\192.168.0.99\Media\series\Avatar.The.Last.Airbender.S01.COMPLETE.1080p.NF.WEB-DL.DDP5.1.x264-LiTTLEBLUEMAN[TGx]\Avatar.The.Last.Airbender.S01E01.Aang.1080p.NF.WEB-DL.DDP5.1.x264-LiTTLEBLUEMAN.mkv
NAO;2415,08;Andor.S01E06.1080p.WEB.h264-KOGi.mkv;Andor.S01E06.1080p.H265.mkv;Andor.S01E06.1080p.WEB.h264-KOGi[rarbg];\\192.168.0.99\Media\series\Andor\Andor.S01E06.1080p.WEB.h264-KOGi[rarbg]\Andor.S01E06.1080p.WEB.h264-KOGi.mkv
NAO;2412,68;Yumi's.Cells.S01E03.1080p.WEB-DL.H264.AAC-AppleTor.mp4;Yumi_s.Cells.S01E03.1080p.H265.mp4;Yumis.Cells.S01.KOREAN.1080p.WEBRip.AAC2.0.x264-AppleTor[rartv];\\192.168.0.99\Media\series\Yumis.Cells\Yumis.Cells.S01.KOREAN.1080p.WEBRip.AAC2.0.x264-AppleTor[rartv]\Yumi's.Cells.S01E03.1080p.WEB-DL.H264.AAC-AppleTor.mp4
NAO;2372,10;The.Mandalorian.S01E02.1080p.WEBRip.DDP5.1.x264-CUSTOM (1).mkv;The.Mandalorian.S01E02.1080p.H265.mkv;The.Mandalorian.S01E02.1080p.WEBRip.DDP5.1.x264-CUSTOM[rartv];\\192.168.0.99\Media\series\TheMandalorian\The.Mandalorian.S01\The.Mandalorian.S01E02.1080p.WEBRip.DDP5.1.x264-CUSTOM[rartv]\The.Mandalorian.S01E02.1080p.WEBRip.DDP5.1.x264-CUSTOM (1).mkv
NAO;2372,10;The.Mandalorian.S01E02.1080p.WEBRip.DDP5.1.x264-CUSTOM.mkv;The.Mandalorian.S01E02.1080p.H265.mkv;The.Mandalorian.S01E02.1080p.WEBRip.DDP5.1.x264-CUSTOM[rartv];\\192.168.0.99\Media\series\TheMandalorian\The.Mandalorian.S01\The.Mandalorian.S01E02.1080p.WEBRip.DDP5.1.x264-CUSTOM[rartv]\The.Mandalorian.S01E02.1080p.WEBRip.DDP5.1.x264-CUSTOM.mkv
