Raiz;Categoria (Nível 1);Subpasta (Nível 2);Subpasta (Nível 3);Subpasta (Nível 4);Caminho Completo;Oportunidade (GB);Pendentes;Total de Arquivos
\\192.168.0.99\Media\;Anime-Cartoon;SwordArtOnLine;;;\\192.168.0.99\Media\Anime-Cartoon\SwordArtOnLine;16,91;4;4
\\192.168.0.99\Media\;Anime-Cartoon;Hanyou no Yashahime;Hanyou no Yashahime - Sengoku Otogizoushi2021;;\\192.168.0.99\Media\Anime-Cartoon\Hanyou no Yashahime\Hanyou no Yashahime - Sengoku Otogizoushi2021;16,84;24;24
\\192.168.0.99\Media\;Anime-Cartoon;Hanyou no Yashahime;Hanyou no Yashahime - Sengoku Otogizoushi;;\\192.168.0.99\Media\Anime-Cartoon\Hanyou no Yashahime\Hanyou no Yashahime - Sengoku Otogizoushi;16,77;24;24
\\192.168.0.99\Media\;Anime-Cartoon;Haikyuu!!;Haikyuu!! 1aTemporada;;\\192.168.0.99\Media\Anime-Cartoon\Haikyuu!!\Haikyuu!! 1aTemporada;16,49;26;26
\\192.168.0.99\Media\;Anime-Cartoon;Haikyuu!!;Haikyuu!! [BD][1080p][8bit];;\\192.168.0.99\Media\Anime-Cartoon\Haikyuu!!\Haikyuu!! [BD][1080p][8bit];16,49;26;26
\\192.168.0.99\Media\;Anime-Cartoon;Akuyaku Reijou Level 99;;;\\192.168.0.99\Media\Anime-Cartoon\Akuyaku Reijou Level 99;16,41;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Tondemo Skill de Isekai Hourou Meshi;;;\\192.168.0.99\Media\Anime-Cartoon\Tondemo Skill de Isekai Hourou Meshi;16,35;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Genjitsu Shugi Yuusha no Oukoku Saikenki;;;\\192.168.0.99\Media\Anime-Cartoon\Genjitsu Shugi Yuusha no Oukoku Saikenki;16,25;26;26
\\192.168.0.99\Media\;Anime-Cartoon;Jijou o Shiranai Tenkousei ga Guigui Kuru;;;\\192.168.0.99\Media\Anime-Cartoon\Jijou o Shiranai Tenkousei ga Guigui Kuru;16,23;12;14
\\192.168.0.99\Media\;Anime-Cartoon;Skip to Loafer;;;\\192.168.0.99\Media\Anime-Cartoon\Skip to Loafer;16,22;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Boushoku no Berserk;;;\\192.168.0.99\Media\Anime-Cartoon\Boushoku no Berserk;16,18;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Kikansha no Mahou wa Tokubetsu Desu -A Returners Magic Should Be Special;;;\\192.168.0.99\Media\Anime-Cartoon\Kikansha no Mahou wa Tokubetsu Desu -A Returners Magic Should Be Special;16,17;12;12
\\192.168.0.99\Media\;Anime-Cartoon;The World;;;\\192.168.0.99\Media\Anime-Cartoon\The World;16,17;12;12
\\192.168.0.99\Media\;Anime-Cartoon;My.Happy.Marriage.S01.1080p.NF.WEB-DL.AAC2.0.H.264.MULTi-VARYG;;;\\192.168.0.99\Media\Anime-Cartoon\My.Happy.Marriage.S01.1080p.NF.WEB-DL.AAC2.0.H.264.MULTi-VARYG;16,14;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Golden Kamuy;Golden Kamuy 3rd Season;;\\192.168.0.99\Media\Anime-Cartoon\Golden Kamuy\Golden Kamuy 3rd Season;16,13;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Amaama to Inazuma - 01 ~ 12 [1080p][Multiple Subtitle];;;\\192.168.0.99\Media\Anime-Cartoon\Amaama to Inazuma - 01 ~ 12 [1080p][Multiple Subtitle];16,07;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Gate Jieitai Kanochi nite;;;\\192.168.0.99\Media\Anime-Cartoon\Gate Jieitai Kanochi nite;16,05;24;24
\\192.168.0.99\Media\;Anime-Cartoon;Rougo ni Sonaete Isekai de 8-manmai no Kinka o Tamemasu;;;\\192.168.0.99\Media\Anime-Cartoon\Rougo ni Sonaete Isekai de 8-manmai no Kinka o Tamemasu;16,01;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Nazo no Kanojo X;[FênixSub] Nazo no Kanojo X [1080p][FLAC][10bits];;\\192.168.0.99\Media\Anime-Cartoon\Nazo no Kanojo X\[FênixSub] Nazo no Kanojo X [1080p][FLAC][10bits];15,66;13;13
\\192.168.0.99\Media\;Anime-Cartoon;Jouran - The Princess of Snow and Blood;;;\\192.168.0.99\Media\Anime-Cartoon\Jouran - The Princess of Snow and Blood;15,56;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Sayonara Watashi no Cramer;;;\\192.168.0.99\Media\Anime-Cartoon\Sayonara Watashi no Cramer;15,49;14;14
\\192.168.0.99\Media\;Anime-Cartoon;Ijiranaide Nagatoro-san;;;\\192.168.0.99\Media\Anime-Cartoon\Ijiranaide Nagatoro-san;15,49;12;12
\\192.168.0.99\Media\;series;TheMandalorian;The.Mandalorian.S03;;\\192.168.0.99\Media\series\TheMandalorian\The.Mandalorian.S03;15,45;8;8
\\192.168.0.99\Media\;Anime-Cartoon;A Certain;[DragsterPS] A Certain Scientific Railgun S01 [1080p] [English-Japanese Audio] [Multi-Subs];;\\192.168.0.99\Media\Anime-Cartoon\A Certain\[DragsterPS] A Certain Scientific Railgun S01 [1080p] [English-Japanese Audio] [Multi-Subs];15,24;24;24
\\192.168.0.99\Media\;Anime-Cartoon;Yakusoku no Neverland 2nd Season;;;\\192.168.0.99\Media\Anime-Cartoon\Yakusoku no Neverland 2nd Season;15,13;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Yuru_Camp;S01;;\\192.168.0.99\Media\Anime-Cartoon\Yuru_Camp\S01;15,11;14;14
\\192.168.0.99\Media\;Anime-Cartoon;Dr. Stone;Dr. Stone - Stone Wars _Season2;;\\192.168.0.99\Media\Anime-Cartoon\Dr. Stone\Dr. Stone - Stone Wars _Season2;14,98;11;11
\\192.168.0.99\Media\;series;The.Book.of.Boba.Fett.S01;;;\\192.168.0.99\Media\series\The.Book.of.Boba.Fett.S01;14,98;7;7
\\192.168.0.99\Media\;Anime-Cartoon;SwordArtOnLine;AlicizationS02;;\\192.168.0.99\Media\Anime-Cartoon\SwordArtOnLine\AlicizationS02;14,72;11;11
\\192.168.0.99\Media\;series;Ahsoka.S01;;;\\192.168.0.99\Media\series\Ahsoka.S01;14,46;8;8
\\192.168.0.99\Media\;series;Manhattan Season 1 and 2 Mp4 1080p;Season 2;;\\192.168.0.99\Media\series\Manhattan Season 1 and 2 Mp4 1080p\Season 2;14,36;10;10
\\192.168.0.99\Media\;Anime-Cartoon;Maiko-san chi no Makanai-san;;;\\192.168.0.99\Media\Anime-Cartoon\Maiko-san chi no Makanai-san;14,26;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Ousama Ranking;;;\\192.168.0.99\Media\Anime-Cartoon\Ousama Ranking;14,16;23;23
\\192.168.0.99\Media\;Anime-Cartoon;SpyxFamily;Spy x Family Season 2;;\\192.168.0.99\Media\Anime-Cartoon\SpyxFamily\Spy x Family Season 2;14,15;11;11
\\192.168.0.99\Media\;Anime-Cartoon;Angel_Heart;;;\\192.168.0.99\Media\Anime-Cartoon\Angel_Heart;14,05;50;50
\\192.168.0.99\Media\;filmes;2023;Sound.Of.Freedom.2023.1080p.Multi.Sub.DDP5.1.MKV-BEN.THE.MEN;;\\192.168.0.99\Media\filmes\2023\Sound.Of.Freedom.2023.1080p.Multi.Sub.DDP5.1.MKV-BEN.THE.MEN;13,87;1;1
\\192.168.0.99\Media\;Anime-Cartoon;Haikyuu!!;Haikyuu!! 4aTemporada To The Top;;\\192.168.0.99\Media\Anime-Cartoon\Haikyuu!!\Haikyuu!! 4aTemporada To The Top;13,85;25;25
\\192.168.0.99\Media\;Anime-Cartoon;Saijaku Tamer wa Gomi Hiroi no Tabi wo Hajimemashita-The Weakest Tamer Began a Journey to Pick Up Trash;;;\\192.168.0.99\Media\Anime-Cartoon\Saijaku Tamer wa Gomi Hiroi no Tabi wo Hajimemashita-The Weakest Tamer Began a Journey to Pick Up Trash;13,69;10;10
\\192.168.0.99\Media\;Anime-Cartoon;Toradora! + OVA  [720p][BD];;;\\192.168.0.99\Media\Anime-Cartoon\Toradora! + OVA  [720p][BD];13,41;30;30
\\192.168.0.99\Media\;Anime-Cartoon;Cats_Eye;;;\\192.168.0.99\Media\Anime-Cartoon\Cats_Eye;13,08;73;73
\\192.168.0.99\Media\;Anime-Cartoon;SuperCup;;;\\192.168.0.99\Media\Anime-Cartoon\SuperCup;12,62;12;12
